City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Samarai,PG,83.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
290,Biloela,AU,84.94,few clouds,-24.4167,150.5,Biloela Silo Motor Inn
291,San-Pedro,CI,78.4,scattered clouds,4.7485,-6.6363,Hotel Maria
300,Port Moresby,PG,76.42,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
305,Pemangkat,ID,76.77,overcast clouds,1.1667,108.9667,Ramah Kost KITA
306,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
310,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
319,Sikasso,ML,75.6,scattered clouds,10.9167,-7.0,
320,Atar,MR,79.48,overcast clouds,20.5169,-13.0499,Oumou Elghoura
323,Galle,LK,76.23,few clouds,6.0367,80.217,Amangalla
324,Matamoros,MX,78.91,broken clouds,25.5333,-103.25,Quinta Belem
335,Dagua,CO,79.3,overcast clouds,3.6569,-76.6886,Hostal Río Dagua
336,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
338,Mana,GF,76.75,broken clouds,5.6592,-53.7767,LE SAMANA
339,Gawler,AU,87.1,few clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
340,Ahipara,NZ,75.9,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
343,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
359,Pochutla,MX,84.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
361,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
364,Piopio,NZ,85.42,overcast clouds,-38.4667,175.0167,Owls Nest Motel
371,Nazas,MX,77.54,clear sky,25.2333,-104.1333,Hotel Río Nazas
386,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
388,Rio Cuarto,AR,83.97,few clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
