City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Sitka,US,2022-01-29 00:01:53,57.0531,-135.33,39.04,97,100,6.46
109,Zhigansk,RU,2022-01-29 00:01:54,66.7697,123.3711,-10.61,97,91,18.43
110,Puerto Ayora,EC,2022-01-29 00:01:54,-0.7393,-90.3518,74.25,82,63,8.25
111,Cherskiy,RU,2022-01-29 00:01:54,68.75,161.3,-9.38,93,100,4.36
112,Aniva,RU,2022-01-29 00:01:55,46.7144,142.5294,6.91,84,95,4.54
113,Norman Wells,CA,2022-01-28 23:59:43,65.282,-126.8329,-5.76,71,100,9.22
114,Grand Gaube,MU,2022-01-29 00:01:55,-20.0064,57.6608,77.38,82,5,1.99
115,Celestun,MX,2022-01-29 00:01:56,20.8667,-90.4,73.9,75,55,16.69
116,Tupik,RU,2022-01-29 00:01:56,54.4253,119.9327,-10.08,95,100,2.53
117,Naze,JP,2022-01-29 00:01:56,28.3667,129.4833,55.71,81,100,11.39
118,Fairbanks,US,2022-01-29 00:00:00,64.8378,-147.7164,-4.43,92,100,3.74
119,Puerto Baquerizo Moreno,EC,2022-01-29 00:01:57,-0.9,-89.6,73.47,84,95,8.61
120,Mnogovershinnyy,RU,2022-01-29 00:01:57,53.9353,139.9242,-16.35,93,31,4.56
121,Whitehorse,CA,2022-01-29 00:01:57,60.7161,-135.0538,24.01,95,97,5.12
122,Nagda,IN,2022-01-29 00:01:58,23.45,75.4167,49.95,43,0,4.88
123,Sorland,NO,2022-01-29 00:01:58,67.667,12.6934,32.95,71,100,25.64
124,Luderitz,NA,2022-01-29 00:01:59,-26.6481,15.1594,68.83,72,3,28.1
125,Bethel,US,2022-01-29 00:01:59,41.3712,-73.414,30.56,88,100,1.01
126,Sangin,AF,2022-01-29 00:02:00,32.0728,64.8359,47.62,41,23,8.01
127,Fortuna,US,2022-01-29 00:02:00,40.5982,-124.1573,59.41,67,0,9.22
128,Dikson,RU,2022-01-29 00:02:01,73.5069,80.5464,3.54,94,100,18.16
129,Manaure,CO,2022-01-29 00:02:01,11.7751,-72.4445,77.99,75,52,17.94
130,Kiunga,PG,2022-01-29 00:02:02,-6.1219,141.2906,74.1,97,100,1.12
131,Kushmurun,KZ,2022-01-29 00:02:02,52.4503,64.6311,10.09,81,100,8.86
132,Taltal,CL,2022-01-29 00:02:02,-25.4,-70.4833,66.79,78,23,5.99
133,Auki,SB,2022-01-29 00:02:03,-8.7676,160.7034,78.48,88,98,5.73
134,Tilichiki,RU,2022-01-29 00:03:03,60.4667,166.1,28.17,83,100,25.86
135,Adrar,MR,2022-01-29 00:03:04,20.5022,-10.0711,72.21,12,100,2.26
136,Kutum,SD,2022-01-29 00:03:04,14.2,24.6667,50.29,18,5,10.2
137,San Patricio,US,2022-01-29 00:03:04,28.017,-97.5169,58.15,41,50,8.21
138,Petrov Val,RU,2022-01-29 00:03:05,50.1434,45.2096,0.7,99,86,3.62
139,Omboue,GA,2022-01-29 00:03:05,-1.5746,9.2618,77.61,89,95,5.99
140,Meulaboh,ID,2022-01-29 00:03:06,4.1363,96.1285,77.7,88,63,2.51
141,Longyearbyen,SJ,2022-01-29 00:03:06,78.2186,15.6401,4.84,78,0,16.11
142,Luangwa,ZM,2022-01-29 00:03:06,-15.6167,30.4167,71.6,98,100,0.94
143,Yar-Sale,RU,2022-01-29 00:03:07,66.8333,70.8333,-9.06,98,87,7.36
144,Alofi,NU,2022-01-29 00:03:07,-19.0595,-169.9187,82.2,74,72,13.04
145,Haines Junction,CA,2022-01-29 00:03:07,60.7522,-137.5108,27.59,97,100,0.89
146,Konyshevka,RU,2022-01-29 00:03:08,51.8418,35.2941,29.91,97,98,7.36
147,Brazzaville,CG,2022-01-29 00:03:08,-4.2658,15.2832,78.3,73,99,1.61
148,Los Llanos De Aridane,ES,2022-01-29 00:03:08,28.6585,-17.9182,55.15,67,0,10.36
149,High Wycombe,GB,2022-01-29 00:02:48,51.6291,-0.7493,50.04,92,82,1.01
150,Grindavik,IS,2022-01-29 00:03:09,63.8424,-22.4338,23.47,68,75,20.71
151,Tual,ID,2022-01-29 00:03:09,-5.6667,132.75,84.34,71,99,12.93
152,Bardiyah,LY,2022-01-29 00:03:10,31.7561,25.0865,53.19,82,44,12.68
153,Bonavista,CA,2022-01-29 00:03:10,48.6499,-53.1147,28.11,72,98,14.88
154,Rio Gallegos,AR,2022-01-29 00:03:10,-51.6226,-69.2181,60.85,63,75,23.02
155,Chicama,PE,2022-01-29 00:03:11,-7.8447,-79.1469,66.74,73,92,5.26
156,Peterhead,GB,2022-01-29 00:03:11,57.5058,-1.7981,55.8,75,100,23.09
157,Tezu,IN,2022-01-29 00:03:12,27.9167,96.1667,49.14,48,0,4.76
158,Linden,GY,2022-01-29 00:00:38,6.0,-58.3,72.0,88,71,4.05
159,Yellowknife,CA,2022-01-29 00:03:12,62.456,-114.3525,-1.59,96,99,5.5
160,Marawi,PH,2022-01-29 00:03:13,7.9986,124.2928,69.66,86,18,1.07
161,Venado Tuerto,AR,2022-01-29 00:00:03,-33.7456,-61.9688,68.77,38,0,8.01
162,Ilam,NP,2022-01-29 00:03:13,26.9167,87.9167,42.42,77,2,4.74
163,Rio Grande,BR,2022-01-29 00:03:14,-32.035,-52.0986,69.44,66,12,11.88
164,Kikwit,CD,2022-01-29 00:03:14,-5.041,18.8162,72.86,83,100,1.97
165,Kaitangata,NZ,2022-01-29 00:01:08,-46.2817,169.8464,63.93,73,93,3.53
166,Tuktoyaktuk,CA,2022-01-29 00:03:15,69.4541,-133.0374,-16.89,93,42,14.76
167,Nanortalik,GL,2022-01-29 00:03:15,60.1432,-45.2371,26.15,90,100,12.17
168,Buraydah,SA,2022-01-28 23:58:22,26.326,43.975,50.45,36,95,8.88
169,Lata,PT,2022-01-29 00:03:16,40.1629,-8.3327,46.04,59,0,5.32
170,Dalbandin,PK,2022-01-29 00:03:16,28.8947,64.4101,56.12,43,0,4.54
171,Tutoia,BR,2022-01-29 00:03:16,-2.7619,-42.2744,75.18,83,100,11.56
172,Kansanshi,ZM,2022-01-29 00:03:17,-12.0951,26.4273,61.52,98,100,4.81
173,Shimanovsk,RU,2022-01-29 00:03:17,52.0,127.7,-4.76,82,5,9.31
174,Mandiana,GN,2022-01-29 00:03:18,10.6333,-8.6833,76.68,18,55,4.09
175,Beringovskiy,RU,2022-01-29 00:03:18,63.05,179.3167,-1.23,97,97,2.3
176,Pishin,PK,2022-01-29 00:03:18,30.5803,66.9961,45.21,44,1,2.19
177,Isangel,VU,2022-01-29 00:03:19,-19.55,169.2667,79.43,87,95,18.32
178,Coquimbo,CL,2022-01-29 00:03:16,-29.9533,-71.3436,64.24,82,23,8.19
179,Vostok,RU,2022-01-29 00:04:19,46.4856,135.8833,-7.37,94,100,5.55
180,Seoul,KR,2022-01-29 00:03:23,37.5683,126.9778,22.51,32,38,6.62
181,Tiksi,RU,2022-01-29 00:04:20,71.6872,128.8694,-8.5,99,89,7.9
182,Puerto Quijarro,BO,2022-01-29 00:04:20,-17.7833,-57.7667,73.89,92,99,3.09
183,Havelock,US,2022-01-29 00:04:20,34.8791,-76.9013,40.98,91,100,1.99
184,Huari,PE,2022-01-29 00:04:21,-9.3333,-77.2333,43.97,90,100,1.74
185,Uige,AO,2022-01-29 00:04:21,-7.6087,15.0613,66.02,92,100,1.86
186,Severo-Kurilsk,RU,2022-01-29 00:04:22,50.6789,156.125,23.63,74,100,28.27
187,Machico,PT,2022-01-29 00:04:22,32.7,-16.7667,61.72,80,75,14.97
188,Lamar,US,2022-01-29 00:04:22,33.6668,-95.5836,48.63,34,0,10.36
189,Cruzeiro Do Sul,BR,2022-01-29 00:04:23,-29.5128,-51.9853,73.53,70,74,5.32
190,Mandali,IQ,2022-01-29 00:04:23,33.7499,45.5541,46.94,56,83,3.83
191,Zhoucun,CN,2022-01-29 00:04:24,36.8167,117.8167,28.56,38,75,1.88
192,Broken Hill,AU,2022-01-29 00:04:24,-31.95,141.4333,78.91,54,63,10.36
193,San Cristobal,VE,2022-01-29 00:04:24,7.7669,-72.225,67.14,84,57,3.42
194,Santa Fe,AR,2022-01-29 00:04:25,-31.6333,-60.7,68.92,82,0,5.97
195,Ribeira Brava,PT,2022-01-29 00:04:25,32.65,-17.0667,61.72,69,77,6.89
196,Bairiki,KI,2022-01-29 00:04:26,1.3292,172.9752,87.8,70,20,13.8
197,Pevek,RU,2022-01-29 00:04:26,69.7008,170.3133,-12.44,98,57,1.97
198,Teeli,RU,2022-01-29 00:04:26,51.0333,90.2333,-19.79,79,11,1.59
