City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Port Moresby,PG,-9.4431,147.1797,76.42,88,75,11.5,light rain
301,Dikson,RU,73.5069,80.5464,-5.21,94,100,22.3,overcast clouds
302,Deputatskiy,RU,69.3,139.9,-25.1,100,64,1.77,broken clouds
303,Klaksvik,FO,62.2266,-6.589,36.52,54,99,40.24,overcast clouds
304,Matay,EG,28.419,30.7792,49.64,54,23,6.91,few clouds
305,Pemangkat,ID,1.1667,108.9667,76.77,87,100,6.2,overcast clouds
306,Ixtapa,MX,20.7,-105.2,76.23,73,0,10.36,clear sky
307,Kenai,US,60.5544,-151.2583,26.69,83,0,0.0,clear sky
308,Hit,IQ,33.6416,42.8251,47.98,63,0,6.8,clear sky
309,Pacific Grove,US,36.6177,-121.9166,67.62,69,0,5.99,clear sky
310,Cockburn Town,TC,21.4612,-71.1419,75.16,69,75,13.8,broken clouds
311,Kruisfontein,ZA,-34.0033,24.7314,65.88,96,84,2.75,broken clouds
312,Jalingo,NG,8.8833,11.3667,70.84,21,54,7.65,broken clouds
313,Tuatapere,NZ,-46.1333,167.6833,72.82,65,37,4.92,scattered clouds
314,Pachino,IT,36.7186,15.0907,46.6,79,0,11.65,clear sky
315,Olovyannaya,RU,50.95,115.5667,-24.03,100,49,3.24,scattered clouds
316,Arlit,NE,18.7369,7.3853,61.95,15,1,10.65,clear sky
317,Hami,CN,42.8,93.45,21.74,44,95,1.74,overcast clouds
318,Basco,PH,20.4487,121.9702,71.06,77,92,30.51,overcast clouds
319,Sikasso,ML,10.9167,-7.0,75.6,16,36,4.99,scattered clouds
320,Atar,MR,20.5169,-13.0499,79.48,11,100,8.32,overcast clouds
321,Beloha,MG,-25.1667,45.05,72.25,77,83,15.52,broken clouds
322,Talara,PE,-4.5772,-81.2719,72.12,82,79,9.04,broken clouds
323,Galle,LK,6.0367,80.217,76.23,90,21,2.35,few clouds
324,Matamoros,MX,25.5333,-103.25,78.91,19,75,9.22,broken clouds
325,Bud,US,39.447,-86.1758,32.02,69,49,6.11,scattered clouds
326,Kadirli,TR,37.3739,36.0961,41.97,78,93,6.69,overcast clouds
327,Lasa,IT,46.6166,10.7002,42.26,38,10,5.86,clear sky
328,Pisco,PE,-13.7,-76.2167,73.45,73,75,3.44,broken clouds
329,Luangwa,ZM,-15.6167,30.4167,70.23,97,80,1.28,light rain
330,Mahanoro,MG,-19.9,48.8,72.55,83,4,5.14,clear sky
331,Sao Filipe,CV,14.8961,-24.4956,71.4,72,100,14.32,overcast clouds
332,Srandakan,ID,-7.9386,110.2506,64.72,86,100,3.8,overcast clouds
333,Northport,US,33.229,-87.5772,60.62,29,0,5.75,clear sky
334,Afyonkarahisar,TR,38.75,30.6667,29.75,96,100,2.26,light snow
335,Dagua,CO,3.6569,-76.6886,79.3,98,100,3.33,overcast clouds
336,Kloulklubed,PW,7.0419,134.2556,79.3,73,98,13.85,overcast clouds
337,Zyryanka,RU,65.75,150.85,-17.52,98,100,7.54,overcast clouds
338,Mana,GF,5.6592,-53.7767,76.75,84,75,11.1,broken clouds
339,Gawler,AU,-34.6,138.7333,87.1,40,17,7.49,few clouds
340,Ahipara,NZ,-35.1667,173.1667,75.9,52,98,13.35,overcast clouds
341,Kamennogorsk,RU,60.9545,29.1339,27.84,95,100,8.32,light snow
342,Myaundzha,RU,63.0494,147.1858,-14.76,99,90,4.32,overcast clouds
343,San Andres,CO,12.5847,-81.7006,78.82,78,75,12.66,broken clouds
344,Presidente Dutra,BR,-5.29,-44.49,72.28,96,98,1.05,overcast clouds
345,Alice Springs,AU,-23.7,133.8833,74.75,94,100,9.22,overcast clouds
346,Csanadpalota,HU,46.25,20.7333,37.94,68,37,13.47,scattered clouds
347,Oranjemund,NA,-28.55,16.4333,65.26,91,85,6.35,overcast clouds
348,Tura,IN,25.5198,90.2201,51.24,59,2,3.2,clear sky
